Author;ID;PIDs;Keywords
Neppare, Christoffer;408;930605;
Blomberg, Pontus;409;930605;
Mann, Anna;410;1562606;classification,categorization,e-mails,preprocessing,tf-idf,machine learning,supervised learning,naïve bayes,support vector machine,decision tree,klassificering,kategorisering,e-postmeddelanden,förbehandling av data,tf-idf,maskininlärning,övervakad inlärning,naïve bayes,support vector machine,decision tree
Höft, Olivia;411;1562606;classification,categorization,e-mails,preprocessing,tf-idf,machine learning,supervised learning,naïve bayes,support vector machine,decision tree,klassificering,kategorisering,e-postmeddelanden,förbehandling av data,tf-idf,maskininlärning,övervakad inlärning,naïve bayes,support vector machine,decision tree
Ottosson, Love;6bb07581-c717-479e-9e1e-5789fb45cf91;1149081;distributed systems,nosql,big data,e-commerce
Escandón Álvarez, Carlos;4da3c010-710f-4380-ad23-79e651e8e2dd;1793709;cell tower geolocation,crowdsourced measurements,positioning,machine learning,neural networks
ZHANG, WILLIAM;959f119d-9c3e-433a-9a98-895ffed57345;681006;
PETTERSSON, CHRISTOFFER;412;771132;
SCHMIDT, ERIC;413;771132;
Ali, Miran;86afd01d-a394-40a0-b598-71e6ff96038c;758220;search engine,search,findwise,solr,searching,relevance,qf,cosine similarity,mongodb,inex
Santos Escriche, Eduardo;0bf96560-dac1-4357-b80e-9510c397e550;1885073;graph neural networks,network-based intrusion detection,temporal graph networks,cybersecurity,machine learning,grafneurala nätverk,nätverksbaserad intrångsdetektering,temporala grafnätverk,cybersäkerhet,maskininlärning
Kraljevic, Matija;73ce3729-6e87-4aa2-9521-f80f02239f0a;932897;
Viklund, Alexander;414;1108415;character recognition,natural images,tensorflow,data augmentation,neural networks,chars74k,convolutional,teckenigenkänning,naturliga bilder,tensorflow,dataaugmentering,neurala nätverk,neuronnät,chars74k
Nimstad, Emma;415;1108415;character recognition,natural images,tensorflow,data augmentation,neural networks,chars74k,convolutional,teckenigenkänning,naturliga bilder,tensorflow,dataaugmentering,neurala nätverk,neuronnät,chars74k
Abdihakim, Ali;3ef5db79-ac1e-4853-ae5d-0785ad4a53bf;1603397;viral,popular and trending are interchangeable terms and refers to content that garners hundreds of thousands if not million of views in a short span of time.,viralt,populärt och trendigt är utbytbara termer och syftar på videor som får hundratusentals om inte miljontals visningar på kort tid.
Kottorp, Max;416;1119783;chatbot,artificial intelligence,machine learning
Jäderberg, Filip;417;1119783;chatbot,artificial intelligence,machine learning
Amilon, Mattias;7644cbff-b27e-4dc2-a1af-6dce397eb8e6;812049;
VALLERYD, MATILDA;418;771048;
ASKLING, THERESE;419;771048;
Malmgren, Max;420;668850;
Åhammar, Ulf;421;668850;
Le, Yvonne;298462bf-eeeb-418c-90c2-2cd68491b828;1075738;compound splitting compounding
Alnesjö, Robert;1647;1185014,812783;dash,chunked,http,live,streaming,low delay,throughput,fetch
Chaliane Junior, Guilherme Dinis;471b6ff8-0506-4743-8dbf-179a4385ec1b;1149077;
Wiltschi, Klaus;422;440708;
Pinz, Axel;423;440708;
NORDSTRÖM, RICHARD;424;676643;
TÄNGMARK, ANNIKA;425;676643;
Chahine, Fredrick;0b88b87e-bb1b-47b2-b597-241d5b10c4cf;676642;
Bergelid, Linn;984;1228997,927331;text classification,machine learning,song lyrics,music
Javanmardi, Ramtin;426;1213692;eeg,alzheimer's,machine learning,supervised machine learning,spectral power,feature extraction,support vector machine,svm,knn,lda
Rehman, Dawood;427;1213692;eeg,alzheimer's,machine learning,supervised machine learning,spectral power,feature extraction,support vector machine,svm,knn,lda
Tumwa, Philip;428;1700455;
Möttus, Sandra;429;1700455;
Kolibacz, Eric;a938ed0e-30cb-438d-a0c6-96c3ddcd99e6;1221560;convolutional neural network,machine learning,neural network,pick and place machine,assembly line
Sharma, Bharat;796c6482-d296-4960-aa40-06655f7a1a9d;1633154;machine learning,natural language processing,deep learning,classification,supervised learning,transformer models,sentence embeddings,doc2vec,deep averaging networks.,maskininlärning,naturligtspråkbehandling,djupinlärning,klassificering,övervakad inlärning,transformeringsmodeller,meningsinbäddningar,doc2vec,djupa linjärkombinerande nätverk.
Roy, Debaditya;430;1811849,1602304,1835806;deep learning,human activity recognition,out-of-distribution detection,time-series classification,uncertainty estimation,electrical and electronic engineering,biochemistry,instrumentation,atomic and molecular physics,and optics,analytical chemistry
Komini, Vangjush;431;1811849;deep learning,human activity recognition,out-of-distribution detection,time-series classification,uncertainty estimation
Girdzijauskas, Sarunas;432;1811849,1602304,1543377,1471910,1717398,917395,1751023;deep learning,human activity recognition,out-of-distribution detection,time-series classification,uncertainty estimation,electrical and electronic engineering,biochemistry,instrumentation,atomic and molecular physics,and optics,analytical chemistry,graph convolution,software define networks,open world learning
Riese, Axel;1043;1137260,814621;computer vision,deep learning,model compression,transfer learning
SEGERSVÄRD, OSKAR;433;676564;
SÅNGBERG, DENNIS;434;676564;
Pers, Axel;435;1196404;
Orre, Adam;436;1196404;
Dath, Carl;461;1783084,1214377;natural language processing,machine learning,word2vec,glove,bert,personal data classification,språkteknologi,maskininlärning,personlig data klassificering
Klingestedt, Kashmir;736;1241936,926633;client,server,client-server,communications,efficiency,evaluation,gis,nis,geographic information system,network information system,protobuf,protocol buffers,java,serialization,protocol,http,http/1.1,http/2,hypertext transfer protocol,httpclient,tomcat,overhead,payload,webserver,transmission,spatial data,natural language,speech recognition,natural language interface,gamification
Daniel, Öberg;9c090b2e-ac3b-4405-885e-1e27b2568297;877778;clinical assessment,compression ultrasonography,deep vein thrombosis,support vector machines
Lu, Chi Jen;437;1883453;
Björnberg, Adam;09aeb2ff-e468-4c4d-91f6-05dcee3f96aa;1617069;iot,internet of things,chaos engineering,cloud platforms,iot,sakernas internet,kaosteknik,molnplattformar
Lindgren, Leonard;438;1774212;aws,heroku,comparison,infrastructure as code,cost,availability,aws,heroku,jämförelse,prestanda,kostnad,tillgänglighet
Kvasov, Maxim;439;1774212;aws,heroku,comparison,infrastructure as code,cost,availability,aws,heroku,jämförelse,prestanda,kostnad,tillgänglighet
Jos´e Iglesias Garc´ıa, Fernando;48b0709c-6d60-4dd3-b839-018ed1105ce5;753043;
Friberg, Christoffer;d3cc249d-7b80-4fb2-9629-c88cc6afc349;813313;
Li, Jing;974a140f-04fa-49cb-98fb-0684a467d693;1164172;clustering,time series forecasting,rain attenuation,machine learning,unsupervised learning,klustring,tidsserieprognoser,regn dämpning,maskininlärning,unservervised learning
Porcu, Simone;c41b3105-d369-4da0-9a05-8af27a1be48b;1868373;machine learning,data engineering,data processing,customers clustering,maskininlärning,datateknik,databearbetning,kundkluster
Eriksson, Håkan;1657;948252;machine learning,cluster analysis,log file analysis
Bjarnason, Brynjar Smári;9a53ff28-9e9a-4082-ba91-82664fc44d02;1109071;metagenomics,coverage,composition,k-mer,clustering,mixture model,gaussian,dirichlet process,machine learning
Johansson, Andreas;c97f450d-7e01-4567-83f0-c317fd7f17e8;945762;clustering,user-behavior,online social network
Bergholm, Marcus;639;1220095,927475;user clustering,image clustering,deep embedding clustering,dec,photon mapping,k-nearest neighbors,ellipsoid,gpu,parallel
Aspegren, Villiam;224b4794-3888-47cf-a616-c6282c3e1269;882369;graph drawing,automatic graph layout,directed graphs,sugiyama,cluster,clusters
Sharif Razavian, Ali;440;738235;
Azizpour, Hossein;441;738235,1857952,1857950,1882587,1857944;label noise,noisy labels,robustness,gaussian noise,classification,log-ratio transform,compositional data analysis
Sullivan, Josephine;442;738235;
Carlsson, Stefan;443;738235;
Mazza, Lorenzo;b25dd2a1-987c-492e-bf20-9e8172a674a7;1896704;stock returns,cross-section,financial machine learning,regression-via-classification,coarse-graining,neural network,naive-bayes,aktieavkastning,tvärsnitt,finansiell maskininlärning,regression-via-klassificering,grovkornig,neuralt nätverk,naive-bayes
Liu, Willy;719;1640196,1214468;
Tysell Sundkvist, Leif;444;1112978;
Persson, Emil;445;1112978;
Abbasi, Azad Ismail;bfc0261c-5957-4305-bcee-a0d7d897379c;817742;human-computer interaction,hci,usability,graphical user interface,gui,user friendly interface,user-centered system design,ucsd,människa-datorinteraktion,mdi,användbarhet,grafiskt användargränssnitt,användarvänligt gränssnitt,användarcentrerad systemdesign,acsd
Lorentz, Robert;446;1107752;cold start,recommender system,k-nn
Ek, Oskar;447;1107752;cold start,recommender system,k-nn
Lundberg, Edvin;1555;1115157,811055;multi-agent games,multiagent games,multi-agent system,imperfect information,imperfect recall,collaboration,imperfect communication,finite-state strategy,concurrent games,concurrent system,strategy synthesis,strategy construction,automated programming,automated problem solving,automated collaboration,verification,knowledge-based subset construction,knowledge tracking,graph decomposition,strongly connected component,pursuit-evasion,search number,el-system,formal grammar,greedy heuristic
Kammerlander, Robin;14bfdcfb-79f4-48d0-a74c-25bb87d71b9c;1467053;
Dönmez, Halit Anil;7bf1b7b1-9f97-4e2f-8564-692212b6caa7;1118706;virtual,crowd,simulation,reinforcement,learning,qlearning,machine
Svärd, Mikael;448;1114109;fake news,machine learning,naive bayes
Rumman, Philip;449;1114109;fake news,machine learning,naive bayes
de Oliveira Oliveira, Mateus;10d46965-da37-468b-82e5-a95084e37e3a;665450;combinatorial slice theory,partial order theory of concurrency,digraph width measures,equational logic
Sommar, Fredrik;450;811021;sentiment classification,sentiment analysis,opinion mining,lexicon,machine learning,hybrid,movie reviews,social media
Wielondek, Milosz;451;811021;sentiment classification,sentiment analysis,opinion mining,lexicon,machine learning,hybrid,movie reviews,social media
Thörnberg, Jesper;d6568dec-352f-4017-922c-143882d1316b;858100;cnn,convolutional neural network,svm,support vector machine,rgb-d,depth
Puranen Åhfeldt, Theo;799;1870943,1464559;unmanned aerial vehicle,drone detection,trajectory-based,background subtraction,joint detection and tracking,computer vision,deeplearning,drönare,drönardetektering,trajektoria-baserad,bakgrundssubtraktion,förenad detektering och spårning,datorseende,djupinlärning
Geffrier, Valentin;dbcdf7a8-4026-46ae-88ac-eb05d6aa1205;1152662;graph clustering community detection device advertising identity bipartite louvain
Baumgardt, Tor;c2b1730f-2d2c-4f34-8d2f-c5f170bea68d;1217269;
Holesovsky, Ondrej;427b317e-90bd-4029-a050-2a5d080742ad;1150748;convolutional neural networks,compact architectures,weight quantization,activation quantization,dithering activations
Löwbeer, Rikard;452;1886716;steganography,steganalysis,convolutional neural network,machine learning,algorithmic design,steganografi,steganalys,konvolutionellt neuralt nätverk,maskininlärning,algoritmisk design
Göransson, Emil;453;1886716;steganography,steganalysis,convolutional neural network,machine learning,algorithmic design,steganografi,steganalys,konvolutionellt neuralt nätverk,maskininlärning,algoritmisk design
Larspers Qvist, Simon;c92fd2a7-33bd-436c-92c8-f55cadd66a22;1887671;fashion image classification,image classification,yolo,yolov5,clip,fashionclip,semantic understanding,automatic labeling,imagecategorization,comparative analysis,computer vision,klassificering av modebilder,bildklassificering,yolo,yolov5,clip,fashionclip,semantisk förståelse,automatisk kategorisering,bildkategorisering,jämförande analys,datorseende
Bahy, Mazen;5e780ef2-237c-4eec-9758-6d7f33b67152;1473061;
Wrife, Andreas;da785381-ad31-46e7-af14-eb1ea6c45d88;1844577;virtual reality,surgical simulations,external ventricular drainage,motion capture,interaction controls,virtuell verklighet,kirurgiska simuleringar,extern ventrikeldränage,interaktionskontroller
Brundin, Amanda;7426ada4-5971-40da-affc-d4b09f810e9d;1897041;user-centered design,audio faders,radio broadcasting,touch interfaces,skeuomorphic design,user experience,användarcentrerad design,ljudreglage,radiosändning,touchgränssnitt,skeuomorf design,användarupplevelse
Uggelberg, Richard;454;1111201,1685851;software testing,software engineering,test improvement,property-based testing,invariant detection,mjukvarutestning,mjukvarukonstruktion,testförbättring,egenskapsbaserad testning,invariantdetektion
Lundblom, Andreas;455;1111201;
THIPPURSRIDATTA, AKSHAYA;73b5a5eb-2f97-42b5-83b0-0fbb658e428a;680994;
Forsberg, Filip;df4b1182-8759-470b-8791-ca6f194055c6;1797616;
Xia, Ziqi;78f55d47-6d1a-4e9d-b003-de4ae06364a9;1598162;performance testing,performance engineering,information visualization,quality assurance,user experience,web services,prestandatestning,performance testing,prestandateknik,performance engineering,informationsvisualisering,kvalitetssäkring,quality assurance,användarupplevelse,webbtjänster
Petersson, Jesper;6e7c801e-bb98-49fc-a77b-f076da43e038;1778306;machine learning,cloud computing,benchmark,image quality assessment,maskininlärning,molntjänster,jämförelse,bildkvalitetsbedömning
Lillthors, Christopher;456;929350;
Philipson, Samuel;457;929350;
Danielsson, André;9879b399-bfeb-44a1-8ea0-64e8c9db755f;1109257;android,ndk,dalvik,java,c++,native,android runtime,clang,java native interface,digital signal processing,fast fourier transform,vectorization,neon,performance evaluation
Roos, Quintus;458;1464868,1708538;transformed-based pre-trained language models,natural language processing,natural language generation,conditional text generation,text classification,fine-tuning,english language learning.,transformbaserade förtränade språkmodeller,naturlig språkbehandling,naturlig språkgenerering,betingad textgenerering,finjustering,instruktionsjustering,engelska inlärning.
Lilliesköld, William;459;1464868;
Vikström, Johan;9ebde25d-00b6-459d-b8c2-4ff8b68073fb;1588978;peer- to- peer,decentralized machine learning,federated learning,gossip learning,long short- term memory,convolutional neural network,peer- to- peer,decentraliserad maskininlärning,federated learning,gossip learning,lång korttidsminne
Asante-Poku, Kwabena;60af11ea-488f-41d2-81e0-6a2568a5b7d9;816401;
D'Orto, Manolo;1682;1523039,1213527;
Lundin, Lars;460;1214377;
Albiz, Julius;d8b19f0a-50d5-4887-beda-44470e65999f;1801366;gaze cue,eye tracking,mixed-method,case study,gaze cue,mixad metod,fallstudie
Li, Rui;432b7d32-8db6-40f7-a79d-a49fda19dcf2;1233059;human-robot interaction,virtual reality,human-computer interaction,space perception,spatial sound
Persson, Max;462;1609945;
Dabiri, Arash;463;1609945,1783239;speech-to-text,deep learning,accents,wav2vec,tal-till-text,djupinlärning,brytningar
Broberg, Felix;464;1214470,1468484;
Eriksson, Emelie;465;1214470;
Eder, Felix;1669;1589040,1215409;event-driven architecture,monolithic architecture,domain-driven design,service- oriented architecture,organisational structure,event-driven arkitektur,monolitisk arkitektur,domändriven design,serviceorienterad arkitektur,organisationsstruktur
Eriksson, Oliver;466;1464534,1692949;imposters,rendering,crowd rendering,perception,imposters,rendering,rendering av folkmassor,iaktagelseförmåga,particles,tessellation,b-spline,mesh shaders
Lindblom, William;467;1464534,1708704;imposters,rendering,crowd rendering,perception,imposters,rendering,rendering av folkmassor,iaktagelseförmåga,microservice architectures,threat modelling,design patterns,mikrotjänstarkitekturer,hotmodellering,designmönster
Odelius, Nora;468;1797611;quantum computing,quantum annealing,simulated annealing,graph coloring problem,kvantberäkningar,quantum annealing,simulated annealing,graffärgningsproblemet
Reinholdsson, Isak;469;1797611;quantum computing,quantum annealing,simulated annealing,graph coloring problem,kvantberäkningar,quantum annealing,simulated annealing,graffärgningsproblemet
Le, Tony;470;1464073;
Karlberg, Pontus;471;1464073,1778303;iot,security,hacking,iot,säkerhet,dataintrång
Hocker, Simon;472;1774216;compilers,interpreters,regular languages,regex,performance,kompilatorer,tolkare,regulära språk,regex,prestanda
Hammarstrand, Andreas;473;1774216;compilers,interpreters,regular languages,regex,performance,kompilatorer,tolkare,regulära språk,regex,prestanda
Josefsson, André;972;1230567,929771;databases,nosql,geospatial,gis
Alekseenko, Andrey;474;1886365,1886363;sycl,gromacs,heterogeneous acceleration,molecular dynamics,performance-portability,heterogeneous parallelism,gpu,sycl,gromacs
Pall, Szilard;475;1886365,1886363;sycl,gromacs,heterogeneous acceleration,molecular dynamics,performance-portability,heterogeneous parallelism,gpu,sycl,gromacs
De Blasio, Simone;476;1463798;
Ekstedt Karpers, Fredrik;477;1463798;
Gyllenram, Jonathan;478;1108960;
Gisslém, Fredrik;479;1108960;
Sannemo, Johan;480;937684;
Lindholm, Simon;481;937684;
Ortega Mattsson, Alvaro;74d5a4cd-feac-4200-abf1-9e0ed0eafb88;1472455;
Werlinder, Marcus;8b913729-001c-431a-b0b8-689f6d5cf828;1466268;
Jonsson Sjödin, Adrian;482;1783632;cross-platform,native,mobile development,low-code,jetpack compose,flutterflow,user interface,cross-platform,native,mobilutveckling,low-code,jetpack compose,flutterflow,användargränssnitt
Lundqvist, Alexander;483;1783632;cross-platform,native,mobile development,low-code,jetpack compose,flutterflow,user interface,cross-platform,native,mobilutveckling,low-code,jetpack compose,flutterflow,användargränssnitt
Haneklint, Carl;484;1763111;virtual threads,spring boot,reactive webflux,java,concurrency,virtual threads,spring boot,reactive webflux,java,concurrency
Joo, Yo Han;485;1763111;virtual threads,spring boot,reactive webflux,java,concurrency,virtual threads,spring boot,reactive webflux,java,concurrency
Wåreus, Linus;486;927368;query containment,xpath,implementation,the canonical model,the homomorphism technique
Wällstedt, Max;487;927368;query containment,xpath,implementation,the canonical model,the homomorphism technique
Hansjons Vegeborn, Victor;488;1112342;
Rahmani, Hakim;489;1112342;
Saikia, Himangshu;8f002247-35d4-4cf8-8261-1bd53a238881;1150643;topology,scalar fields,merge tree,tree comparison,tracking,similarity search
Andersson, Rasmus;490;1795915;fluid simulation,lagrangian fluid simulation,smoothed-particle hydronamics,position based dynamics,vätskesimulering,lagransk vätskesimulering,smoothed-particle hydronamics,position based dynamics
Tjernell, Erica;491;1795915;fluid simulation,lagrangian fluid simulation,smoothed-particle hydronamics,position based dynamics,vätskesimulering,lagransk vätskesimulering,smoothed-particle hydronamics,position based dynamics
Sandelius, Hugo;492;771160;
Forsell, Simon;493;771160;
Sahlgren, Michaela;3777db76-3815-4de8-a0f5-6eeb7dcf0b01;1887430;machine learning,neural networks,patent classification,bert,sbert,dense passage retrieval,maskininlärning,neurala nätverk,patentklassning,bert,sbert,dense passage retrieval
Tsiodoulos, Dimitrios;e669f528-c1a1-41d4-977e-c5de9d71ca9e;922114;navigation,mobile application,usability,mobile interaction,mobile evaluation
Wong, Mark;8e022bb0-709f-499d-9614-af523f27f322;1140324;comparison interpolation methods residence price heat map kriging thin plate spline inverse distance weighting,jämförelse interpolationsmetoder bostadspriser färgdiagram kriging thin plate spline inverse distance weighting
Morfeldt Gadler, Teodor;a4409b3a-3f61-4ad0-be30-8330c2b84310;1795928;
WICKMAN, TOMAS;494;770174;
ÖHMAN, EMIL;495;770174;
Ufymtseva, Sofiia;634f8fe9-9b59-4063-812e-bea12892ab94;1894319;machine learning,autoencoder,long short-term memory,predictive maintenance,fault detection,bearing,maskininlärning,autoencoder,long short-term memory,prediktivt underhåll,feldetektering,lager
Lindberg, Adam;496;1597259;
Gerholm, Gustav;497;1597259,1710481;mint project,pose estimation,video annotating,hyperpose,3d-distance approximation,mint-projektet,poseuppskattning,videoannotering,hyperpose,uppskattning av 3d-sträcka
Khan, Alina;ed97b019-2219-4419-86a0-3a3c0235ef60;1900413;datormoln,multi-moln,devops,docker,kubernetes,amazon web services,microsoft azure,infrastruktur som kod,terraform,gitlab,continuous integration,continuous delivery och continuous deployment,elastic kubernetes service,azure kubernetes service
Duberg, Daniel;498;812006,1176285;unmanned aerial vehicle,safe navigation,tele-operated,robotics,drones,uav,indoor,collision avoidance,human-uav interface,interface,human-robot interface,computer science
Tideström, Jakob;499;812006;
Molin, Eric;8e934549-0413-4c7d-a259-6751f0219250;1037481;single-page application,framework,javascript
Fournier, Camille;e9926f5d-8df4-46b1-8a3b-34410f2c55ee;1474729;
Kratz, Jakob;500;1595833,1847463;radius search,spatial partitioning,agent- based simulation,boids,grid,kd- tree,quadtree,maximum velocity,radius search,spatial partitioning,agent- based simulation,boids,grid,kd- tree,quadtree,maximum velocity,algorithms,computational geometry,dynamic pr-tree,query performance evaluation,algoritmer,beräkningsgeometri,dynamiskt pr-träd,prestandautvärdering
Luthman, Viktor;501;1595833;radius search,spatial partitioning,agent- based simulation,boids,grid,kd- tree,quadtree,maximum velocity,radius search,spatial partitioning,agent- based simulation,boids,grid,kd- tree,quadtree,maximum velocity
Karlsson, Herman;502;1464060;
Williams, Sebastian;503;1464060,1778279;javascript,utility library,ecma,performance,web,benchmarking,javascript,verktygsbibliotek,ecma,prestanda,webb,benchmarking
Adzemovic, Haris;504;1112146;
Sandor, Alexander;505;1112146,1230535;blockchain,iot,public key encryption,public key infrastructure
Filipsson, Melker;507;1111865;
Janse, August;508;811171;
Redgert, Rebecca;509;811171,1108255;data warehouse,data quality,semiotic theory,syntactic quality,semantic quality,pragmatic quality,strategic decision making,quality framework,guiding principles
Romuld, Daniel;510;811948;
Ruhmén, Markus;511;811948;
Öhman, Joey;512;1653044;probabilistic programming languages,sequential monte carlo,gpu compilation
Kudlicka, Jan;513;1653044,1356912;probabilistic programming languages,sequential monte carlo,gpu compilation
Senderov, Viktor;514;1653044;probabilistic programming languages,sequential monte carlo,gpu compilation
Department of Zoology, Stockholm University, Stockholm, Sweden);74677e74-63e7-49a8-98fc-d158df7edd7c;1653044;probabilistic programming languages,sequential monte carlo,gpu compilation
Sirak, Simon;e0cdb6bc-6104-47f6-9b06-1999b19c061c;1616660;object detection,low data regime,complementary labels,deep learning,objektdetektion,låg dataregim,komplementära etiketter,djupinlärning
Ingverud, Patrik;23118475-78bb-421c-9958-432497bd0ffd;1231616;recommender systems,convolutional neural network,matrix factorization
Hagerf, Alexander;875a3553-71a0-49fc-b91f-c18169812320;827501;machine learning,statistical,herbrand,relational,ilp,kreator,learning,bayesian,logic,program,balios,complexity,blp,srl,foi,maskininlärning,relationslärande,relationer,logik,komplexitet,bayesiansk
Linde, Oskar;515;465703;image descriptor,histogram,object recognition,object categorization,gaussian derivative,spatio-chromatic derivative,differential invariant,spatio-chromatic differential invariant,image feature,colour feature,scale-space,cue combination,multiple cues,multi-scale representation,computer vision
Schaefer, Ina;516;459635;distributed systems,event-b,fault injection,model checking,software verification
Ait Lahmouch, Nadir;ecd03864-6222-4bba-b622-d65c34fe456c;1650794;natural language processing,deep learning,bert,knowledge distillation,pruning.
Bergdorf, Johan;517;812016;
Norman, Jesper;518;812016;
Åslund, Jacob;519;1464528;
Dahlin, Anton;520;1464528;
Wall, Paul;c9e8d941-e39c-4d9e-8a73-6a45a29e715c;1705230;waveholtz iteration method,helmholtz equation,discontinuous galerkin methods,underwater acoustics.,waveholtziterativametod,helmholtzekvation,diskontinuerligagalerkinmetoder,undervattensakustik.
Huss, Mikael;c475253a-9615-486d-88ac-8b7e0d914abb;12226;
Dabbaghchian, Saeed;846;1263713,1263534,1352328,1263543,1471890,971288;vocal tract,upper airway,speech production,biomechanical model,acoustic model,vocal tract reconstruction,speech,tongue,muscle activation,electromagnetic articulography,biomechanics,vowel-vowel utterances,voice production,finite element method,biomechanical articulatory model,vocal tract geometry,vocal tract acoustics,finite element method
Sandström, Malin;932ab8d9-b73c-4b58-89f4-198767a565b1;301250,12177;olfaction,olfactory system,olfactory bulb,olfactory receptor neuron,synchronization,camkii,mathematical modelling,lukt,luktsystemet,luktbulben,synkronisering,camkii,matematisk modellering,synchronisation,camkii
Elias, Isaac;850866f1-2451-4ab4-8360-6d3d7dcd8f80;11046;distance methods,tree reconstruction,sorting by transpositions,multiple alignment,ancestral sequences
Mossler Rockström, Martin;9db9802d-215f-4162-82db-5fe1a571ea8f;1201228;optimisation,spoon,utensils,disability aids,shape adaptation,visualisation,optimering,sked,bestick,hjälpmedel,formanpassning,visualisering
Samuelsson, Axel;521;812097,1116701;spelling correction,edit distance,search,music,spotify,trie,damerau,levenshtein
Hellgren, Robin;522;812097;
Hjorth, Johannes;b6efce97-c460-4fb0-b1f9-4aac46d57dd8;218751;striatum,fast spiking interneurons,medium spiny projection neurons,gap junctions,interoperability,music
Harischandra, Nalin;812a2db0-ad57-45ef-a373-05487a08e420;13466,454870;locomotion,computer simulation,central pattern generator,muscle activation,linear transfer functions,sensory feedback,neural control,locomotion,computer simulation,central pattern generator,system identification,gait transition,sensory feedback,spiking neural networks
Björkman, Carl;573777d5-d619-4b58-aaf5-f1d9e1b48faf;1120444;control flow analysis,tableau system,theoretical computer science,program verification,compositional verification,static analysis,control flow
Hjerpe, Adam;5ec70a8c-c9fa-453e-86a4-c39301cde5ee;921542;machine learning,ml,variable importance,vim,random forests,rf,feature selection,variable selection,exploratory data analysis,eda
Lindeberg, Tim;8be80afe-c4c7-47c4-a906-bca89ff28a8f;947325;eye tracking,eyetracking,gaze contingent,depth of field,level of detail,tessellation,3d grahpics,computer graphics,foveated rendering
Sorkhei, Moein;03aaea0a-1eb0-468c-b611-500bafa9ab3a;1517805;
Austrin, Per;b12612a6-0d7b-4559-ad00-5e1fa097deff;114147;
Ceylan, Ciwan;1716;1139156,813801;noise-contrastive estimation,nce,unnormalised models,statistical estimation,natural image statistics,unsupervised learning,neural network
Socolovschi, Serghei;523;1602304;electrical and electronic engineering,biochemistry,instrumentation,atomic and molecular physics,and optics,analytical chemistry
Bwogi, Andrew;524;1105877;
Dagdelen, Tuncay;525;1105877;
Kamelabad, Alireza M.;526;1928995;human-robot interaction,conformity,influential agent,multiparty interaction,child-robot interaction,education,trust
Skantze, Gabriel;528;1928995,1338264,1141130;human-robot interaction,conformity,influential agent,multiparty interaction,child-robot interaction,education,trust
Zhao, Xin;529;1500064,1524375;consistency types,replicated data types,distributed programming,information-flow security,programming languages,distributed systems,type system,replicated data types
Haller, Philipp;530;1500064,1054689,1054687,1556115;consistency types,replicated data types,distributed programming,information-flow security,syntax,ambiguity
Ingemarsson, Gabriel;531;1106927;
Kodet, Rickard;532;1106927;
Blomstrand, Mikael;6dff3848-cbdc-4834-b492-a317e504c217;1247320;scala,dotty,compiler,jvm,mållgan,final,immutable
Castañeda Lozano, Roberto;7613b40e-a464-40f5-beca-88574f6e3cb6;1232941,758121;constraint programming,combinatorial optimization,register allocation,instruction scheduling,compiler construction
Lioubartsev, Dmitrij;e90fcb31-d28f-41a2-83aa-8c300fe35d0e;945222;computer algebra system,step-by-step solutions,artificial intelligence,pedagogy,high school mathematics,datoralgebrasystem,steg-för-steg-lösningar,artificiell intelligens,pedagogi,gymnasiematematik
SETTERQUIST, DAN;533;668690;
SKEPPSTEDT, PETER;534;668690;
Edlund, Joakim;535;811554;
Berntsson, Fredrik;536;811554,753639;
Hagrot, Joel;538;927446;
Eriksson, Fredrik;c4b2f17f-5617-4777-8908-4616cf3485f9;703027;
Abdelmassih, Christian;929a072b-26b5-4185-b0ba-3a0d40479c66;1231856;application isolation,container escape,kubernetes network segmentation,applikationsisolering,container escape,kubernetes nätverkssegmentering
Fahlander, Per;6752b167-9837-409d-85ed-4f1e16edd93b;1631401;mal,corelang,incident response,containment,threat modelling
Nadjar, David;fbb8ef7d-37bb-4e47-a4a3-557f176697d6;1749269;systemverilog,content assist,auto-completion,hardware development language (hdl),sigasi,eclipse,ordering,systemverilog,content assist,automatisk komplettering,hårdvarubeskrivningsspråk (hdl),sigasi,eclipse,ordning
Lindström, David;7f90781d-304c-4351-bdb0-5699b207dbed;1186070;recommender system,content based filtering
Chemeque Rabel, Marine;fdf43efd-a3e3-4171-a72f-9cfb7ab39f9d;1515217;
Wu, Dan;23da3893-2516-4a78-b0c5-73be39170ae1;755363;ontology integration,semantic and pragmatic integration,context,knowledge base,rules
LINDSTEDT, GUSTAF;539;668859;
RUNELÖV, MARTIN;540;668859;
Baheux, Ivan;36294efc-0e3b-49b0-a0bc-aaab7054630e;1778255;android application security,vulnerability detection,context-awareness,model-based security testing,domain specific language,sécurité des applications android,détection de vulnérabilités,sensibilité au contexte,tests de sécurité basés sur les modèles,langage dédiés,android-applikationssäkerhet,upptäckt av sårbarheter,kontextmedvetenhet,modellbaserad säkerhetstestning,domänspecifikt språk
Lauri Aleksi Törnwall, Mikael;14bcac47-845a-46b7-8b08-f014be7047fb;1801471;chatbot,artificial intelligence,machine learning,language model,large language model,gpt-3,natural language processing,text summarization,dialogue summarization,prompt design,prompt programming,chatbot,artificiell intelligens,maskininlärning,språkmodell,stor språkmodell,gpt-3,naturlig ppråkbehandling,textsammanfattning,sammanfattning av dialog,design för inmatningsprompt,inmatningsprompt programmering
