Author;ID;PIDs;Keywords
Sundlöf, Claudius;30;927355,1256056;automatic parallelization,benchmark,polybench,npb,icc,cetus,autopar,tc optimizing compiler,pluto
Krantz, Gustav;31;927355;
Svebrant, Henrik;32;927330,1233300;web search,click modeling,machine learning,recurrent neural networks,artificial neural networks
Svanberg, John;33;927330,1246205;ml,machine learning,neural networks,recurrent neural networks,nn,rnn,lstm,long short-term memory networks,anomaly detection,public transport,big data,data analysis
Lindblad, Maria;e7fa60d8-cdeb-4b35-9cb8-3168f22c9f60;1586454;formality style transfer,bert,natural language generation,swedish language models,gyafc,encoder-decoder models,överföring av formalitetsstil,bert,generering av naturligt språk,svenska språkmodeller,gyafc,kodnings-avkodningsmodeller
Gunér, Gustaf;34;1214420,1463587;
Haider, Adibbin;35;1214420,1616654;
Andersson, Tomas;938;1601097,1213402;pickup and delivery,dial-a-ride,dynamic,order assignment,large neighborhood search,pickup and delivery,dial-a-ride,dynamisk,tilldelning av beställningar,large neighborhood search
Dackander, Erik;41;1239046,927459;clustering,cluster analysis,machine learning,degoo,image clustering,comparative study,klustring,klusteranalys,maskininlärning,bildklustring,jämförande studie
Varatharajah, Thujeepan;36;927335;artificial neural network,random forest,machine learning,stock prediction,forecasting,regression,decision tree,feed foward neural network,stock
Victor, Eriksson;37;927335;artificial neural network,random forest,machine learning,stock prediction,forecasting,regression,decision tree,feed foward neural network,stock
Vidimlic, Haris;0038867c-e642-4749-af14-4339275be9cf;1609893;
Wedin, Mattias;38;1593175;
Bengtsson, Isak;39;1593175;
Raksanyi, Emil;40;927459;
Nolander, Christofer;42;1595251,1783240;query systems,parallelism,incremental computation,compiler architecture,dependency tracking,query system,parallelism,inkrementella beräkningar,kompilatorer,beroende spårning
Strömdahl, Amanda;43;1595251;
Marrikie, Rami;44;1596456;
Rached, Waled;45;1596456;
Larsson, Thimmy;46;1106628;
Wedin, Jonas;47;1106628;
Svensson, Erik;9c398c16-ff0d-40c7-9da4-0fe125180a0b;1659913;
Blom, Simon;0de7bde0-78ad-4238-bb15-3e010a5f1a1d;1595571;
Burvall, Benjamin;48;811125;
Olegård, Johannes;49;811125;
Björck, Erik;50;1214166,1468548;traffic lights,reinforcement learning,traffic control system,comparison,intersection,waiting time,longest queue first,trafikljus,förstärkande inlärning,trafikkontrollsystem,jämförelse,korsning,längst kö först
Omstedt, Fredrik;51;1214166;traffic lights,reinforcement learning,traffic control system,comparison,intersection,waiting time,longest queue first,trafikljus,förstärkande inlärning,trafikkontrollsystem,jämförelse,korsning,längst kö först
HAU, HWOH HEI JAMES;79931e3f-36c8-4082-8dbf-eef7d943689c;703152;
Alvaeus, Edvin;52;1774209;serverless,cloud computing,load testing,azure,rest,serverlös,datormoln,belastningstestning,azure,rest
Lindén, Ludvig;53;1774209;serverless,cloud computing,load testing,azure,rest,serverlös,datormoln,belastningstestning,azure,rest
Kjellberg, Gustav;54;1214150;
Kälvegren, Henrik;55;1214150;
Klaesson, Eric;56;721285;
Dahlin, Victor;57;721285;
Ranby, Erik;d5927062-cbcb-4d83-a73c-2bce8159540d;1047911;clustering k-means hierarchical
Vakili, Thomas;99df377f-9ae0-4c8b-b42c-96aa315fe096;927364;
Lundholm, Jesper;58;1214267,1608667;code analysis,code transformation,metamodel,abstract representation,kotlin,spoon,källkodsanalys,kodtransformation,metamodell,abstrakt representation,kotlin,spoon
Ledéus, Johan;59;1214267,1466817;
Acharya, Jaldeep;60;927551;
Fröberg, Ludvig;61;927551;
Östling, Marcus;62;1214317;
Lilja, Joakim;63;1214317;
Jafari, Mikael;64;1594906,1815072;blockchain,attacks,ethereum,solana,corda,oracle,blockkedja,attacker,ethereum,solana,corda,orakel
Olbe, Joel;65;1594906;
Tabari, Michel;66;1214255;
Sultani, Rawand;67;1214255;
Andersson, Oskar;68;927480;
Reyna Marquez, Steffany;69;927480;
Lundqvist, Melvin;70;1464440;
Forsberg, Agnes;71;1464440;
Sörme, Jacob;72;1214422,1466882;
Edwards, Tobias;73;1214422,1609025;
Heyman, Hugo;74;1463855;
Brandefelt, Love;75;1463855,1708139;datalog,decompiler,webassembly,logic programming,bytecode,datalog,dekompilator,webassembly,logic programming,bytecode
Schwalbe Lehtihet, Oliver;76;1593442;
Åryd, Viktor;77;1593442;
Borg, Caroline W.;78;1107835;
Dackebro, Erik;79;1107835;
Jagelid, Michelle;80;1108465,1463231;
Movin, Maria;81;1108465,1214183;machine learning,lstm,music search,query suggestion
Granskog, Tim;82;811126,1120685;autoencoder dimensionality reduction attribute elimination
Strigér, Amanda;83;811126,1139496;chatbots,machine learning,deep learning,sequence to sequence learning,conversation systems,end-to-end trainable,task-oriented chatbot
Podobas, Artur;84;503167,1559582,798214;application programming interfaces (api),computer software reusability,distributed memory architecture,parallel application,peak performance,programming models,scheduler implementation,task granularity,task parallelism,task performance
Brorsson, Mats;85;503167,370713,503169,798214;application programming interfaces (api),computer software reusability,distributed memory architecture,parallel application,peak performance,programming models,scheduler implementation,task granularity,task parallelism,task performance
Xue, Mengdi;c69eabee-d459-4564-9a95-aa1a3544b471;1560510;
Engelhardt, Sara;86;1105861;
Hansson, Emmeli;87;1105861;
Effati, Shayan;88;811866;
Alipoor, Donia;89;811866;
Avellan-Hultman, David;90;1597267;
Gunnberg Querat, Emil;91;1597267;
Andersson, Vilhelmina;92;1887938;mobile app development,progressive web app,cross-platform development,user experience,react,react native,android,ios,mobilapputveckling,progressiv webbapp,multiplattformsramverk,användarupplevelse,react,react native,android,ios
Seller Fredlund, Johan;93;1887938;mobile app development,progressive web app,cross-platform development,user experience,react,react native,android,ios,mobilapputveckling,progressiv webbapp,multiplattformsramverk,användarupplevelse,react,react native,android,ios
Gummesson, Viktor;832346a6-30f3-47bc-8712-42b31ba77674;1034015;visualisation,visualization,biofabric,gerpilsphere,force-directed. situational awareness
Adamsson, Marcus;94;928589;
Vorkapic, Aleksandar;95;928589,1268555;scion,blockchain,secure,network,communication,scion,blockkedja,säker,nätverk,kommunikation
Hummelgren, Lars;1666;1465215,1214384;
LAYOUSS, NIZAR GANDY ASSAF;3b2feff6-e418-4ee1-8f15-f0ea1f563f58;753291;
Bhat, Sriharsha;96;1471564;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.
Torroba, Ignacio;97;1471564;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.
Özkahraman, Özer;98;1471564,1115505;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.,multi-agent asv gaussian process mapping exploration depth shallow autonomous
Bore, Nils;99;1471564;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.
Sprague, Christopher;100;1471564,1707655,1709018;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.,autonomous systems,stability of hybrid systems,switched systems,behaviour trees,hybrid dynamical systems,formal guarantees,optimal control,machine learning,autonomy
Xie, Yiping;101;1471564;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.
Stenius, Ivan;102;1471564;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.
Severholt, Josefine;103;1471564;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.
