"PID","Title","Keywords","Content"
"1106836","A comparative study between server and client rendering of real-time data visualizations using D3 (En jämförande studie mellan server- och klientrendering av real-time data visualiseringar med D3)","['d3 comparative server rendering client real-time visualization node']","
applying visualization techniques to larger data sets is important to make them easier to explore and analyze. it is also desirable for the visualizations to be done efficiently where there is a continuous flow of data that needs to be visualized. this thesis will explore the performance difference of client and server rendering respectively with the implemented javascript visualization framework d3. to perform the comparative study, two prototypes were created, one using server-side rendering and one using client-side rendering. the time was measured and compared between the two versions to see the impact on render and total time for different data sizes and different amount of concurrently connected clients. rendering times on the client version showed to be faster than on the server, however the data as json objects transferred in the client version was significantly larger than the svg elements in the server version, which leads to a trade off between transferring times and rendering times between the two versions. increasing the amount of concurrent clients showed to have a significant impact on the server version for larger data sets which was to be expected.

"
"1464525","A comparative study of algorithms used in recommender systems : measuring their accuracy on cold start data (En jämförelsestudie om algoritmer inom rekommendationssystem : mätning av deras precision på cold-start data)","[]","
a common problem today is the increasing amount of information that people get exposed to, an issue that recommender systems aim to fix through giving personalized recommendations. the most widely used technique within recommender systems is collaborative filtering, which uses the similarity between users who share the same interest. a recommendation can, therefore, be done by finding users with similar interests and finding new items through those. a known problem within recommender systems is the cold-start problem. this arises when a new user or a new item is added to the system. due to limited information about those, it becomes more difficult to generate accurate personalized recommendations.


the aim of this report is to study how a set of algorithms within collaborative filtering performs during the cold-start problem. the chosen algorithms are svd, svd++, and slope one. both svd and svd++ belong to a model- based approach, and slope one belongs to a memory-based approach, two categories that algorithms within collaborative filtering are divided into. the result of the study indicates that the memory-based algorithm, slope one, is less accurate and has lower performance than the model-based algorithms, svd and svd++, which is in line with previous research. regarding svd and svd++, further studies need to be conducted in order to conclude which of them performs the best during the cold-start problem.

"
"811673","A comparative study of hybrid artificial neural network models for one-day stock price prediction","['artificial neural network', 'hybrid', 'comparative study']","
prediction of stock prices is an important financial problem that is receiving increased attention in the field of artificial intelligence. many different neural network and hybrid models for obtaining accurate prediction results have been proposed during the last few years in an attempt to outperform the traditional linear and nonlinear approaches.


this study evaluates the performance of three different hybrid neural network models used for one-day stock close price prediction"
"1463840","A comparative study of IEEE 754 32-bit Float and Posit 32-bit floating point format on precision. : Using numerical methods.","[]","
posit is a new way of representing floating points in computers. this thesis investigates the precision of the 32-bit posit floating point format compared to the current standard 32-bit ieee 754 float format by conducting tests with numerical methods. posit was chosen due to its promising results in previous work. the numerical analytical methods that where chosen was the least square method, gauss newton interpolation method, trapezoid method and newton raphsons method. results from the tests show that posit32 performs at least as high precision as ieee 754 float on computations larger than a range of 1 and above but tends to increase precision up to three significant figures when moving towards a range of 0 - 1.

"
"1105853","A comparative study of k nearest neighbor computations on GPUs and CPUs (En jämförelse av k nearest neighbor beräkningar på GPUs och CPUs)","[]","
the problem of nearest neighbors search arises in many areas of computer science. this search could see a performance boost if implemented on a gpu, utilizing its multithreading capabilities, compared to the sequential execution on a cpu. the purpose of this report is to invesigate how a simple gpu implementation of k nearest neighbors search compares to other common algorithms on a cpu. a brute force search on the gpu was implemented using nvidias cuda platform, and its performance was tested and compared to implementations from an existing library of both exact brute force search and approximate search on a cpu. results show that the gpu brute force search achieves a significant increase in performance compared to its cpu counterpart, but it struggles to keep up with the approximate search as the amount of data increases.

"
"929287","A comparative study of regression analysis with and without search query data as arepresentation of public opinion (En undersökande studie av regressions analys med och utan sökdata som en representation av folkopinion)","[]","
Stock prediction models using search query data is a modern phenomena and arelatively unexplored subject which potentially yields improvements to currentlyestablished prediction algorithms. This thesis will strive to improve an autoregressiveprediction model by analyzing concurrent search query data to conclude whether ornot taking such data into account will improve the prediction model. Multiplealternatives for sources of search query data has been analyzed and Google Trendswas concluded as the most suitable candidate. The thesis found no strong indicatorthat amplifying the autoregressive algorithm with Google Trends data would producebetter stock predictions. There remains to be found an elegant solution to improvingprediction models using Google Trends data.

"
"927078","A comparative study of regularised SVD and item-based kNN for movie recommender systems","[]","
This thesis compares the performance of two algorithms for rating predictions in movie recommender systems. The two algorithms examined, regularised singular value decomposition (RegSVD) and item-based k-Nearest Neighbour (item-based kNN), are compared on 9 different datasets. These datasets consists of constellations of 1,000-100,000 users and 100-10,000 movies. The problem statement is to find which algorithm performs the best on each dataset with respect to both accuracy and speed. These results are then  compared in order to identify general tendencies. The experiments are performed using the implementations of the algorithms in the LibRec library, where accuracy is measured using root-mean-square error (RMSE). Finally, the results show that item-based kNN outperforms RegSVD with respect to accuracy when evaluated on smaller datasets. However, RegSVD is a better alternative for larger datasets with respect to both accuracy and execution time.

"
"1464517","A Comparative Study of Simulated Annealing and Self-Organising Map Batching for Solving the Order Batching Problem in Warehouses (En jämförande studie mellan self-organising map batching och simulated annealing för att lösa order batching problemet för lager)","[]","
warehouses need efficient picking strategies. batching orders is one such strategy, but creating efficient batches out of orders is computationally hard. we compare two algorithms to find approximate solutions to the batching problem"
"927145","A comparative study of structured prediction methods for sequence labeling","[]","
Some machine learning tasks have a complex output, rather than a real number or a class. Those outputs are composed by elements which have interdependences and structural properties. Methods which take into account the form of the output are known as structured prediction techniques. This study focuses on those techniques, evaluating their performance for tasks of sequence labeling and comparing them. Specifically, tasks of natural language processing are used as benchmarks. 


The principal problem evaluated is part-of-speech tagging. Datasets of different languages (English, Spanish, Portuguese and Dutch) and environments (newspapers, twitter and chats) are used for a general analysis. Shallow parsing and named entity recognition are also examined. The algorithms treated are structured perceptron, conditional random fields, structured support vector machines and trigram hidden Markov models. They are also compared to different approaches to solve these problems.


The results show that, in general, structured perceptron has the best performance for sequence labeling with the conditions evaluated. However, with few training examples, structured support vector machines can achieve a similar or superior accuracy. Moreover, the results for conditional ranom fields is near those two methods. The relative results of the algorithms are similar across different datasets, but the absolute accuracies are dependent on their specificities.

"
"927355","A comparative study of technicalindicator performances by stock sector : RSI, MACD, and Larry Williams %R applied to the Information Technology, Utilities, and Consumer Staples sectors.","[]","
Technical indicators are used by experts in stock trading. The purpose of this report is to investigate whether or not some indicators perform better when applied to stocks of specific market sectors. The investigation was conducted by implementing one algorithm for each of three different technical indicators, Relative Strength Index, Moving Average Convergence-Divergence, and Larry Williams %R. Each algorithm considered one trading strategy. Three market sectors defined by the GICS were included in the tests, <em>Consumer Staples, Utilities, Information Technology</em>. For each of these sectors at least one stock from each industry were tested. Results suggest that the performance of the Relative Strength Index indicator may be related to the sector of the stock to which it is applied, while %R showed no such indication, and MACD showed only a slight performance deviation between sectors. Further and more in-depth studies are required to confirm the results and conclusions drawn in this report.

"
"927330","A comparative study of the conventional item-based collaborative filtering and the Slope One algorithms for recommender systems","[]","
Recommender systems are an important research topic in todays society as the amount of data increases across the globe. In order for commercial systems to give their users good and personalized recommendations on what data may be of interest to them in an effective manner, such a system must be able to give recommendations quickly and scale well as data increases. The purpose of this study is to evaluate two such algorithms with this in mind. 


The two different algorithm families tested are classified as item-based collaborative filtering but work very differently. It is therefore of interest to see how their complexities affect their performance, accuracy as well as scalability. The Slope One family is much simpler to implement and proves to be equally as efficient, if not even more efficient than the conventional item-based ones.


Both families do require a precomputation stage before recommendations are possible to give, this is the stage where Slope One suffers in comparison to the conventional item-based one.


The algorithms are tested using Lenskit, on data provided by GroupLens and their MovieLens project.

"
"1586454","A Comparative Study of the Quality between Formality Style Transfer of Sentences in Swedish and English, leveraging the BERT model (En jämförande studie av kvaliteten mellan överföring av formalitetsstil på svenska och engelska meningar, med hjälp av BERT-modellen)","['formality style transfer', 'bert', 'natural language generation', 'swedish language models', 'gyafc', 'encoder-decoder models', 'bert', 'gyafc']","
formality style transfer (fst) is the task of automatically transforming a piece of text from one level of formality to another. previous research has investigated different methods of performing fst on text in english, but at the time of this project there were to the author’s knowledge no previous studies analysing the quality of fst on text in swedish. the purpose of this thesis was to investigate how a model trained for fst in swedish performs. this was done by comparing the quality of a model trained on text in swedish for fst, to an equivalent model trained on text in english for fst. both models were implemented as encoder-decoder architectures, warm-started using two pre-existing bidirectional encoder representations from transformers (bert) models, pre-trained on swedish and english text respectively. the two fst models were fine-tuned for both the informal to formal task as well as the formal to informal task, using the grammarly’s yahoo answers formality corpus (gyafc). the swedish version of gyafc was created through automatic machine translation of the original english version. the swedish corpus was then evaluated on the three criteria meaning preservation, formality preservation and fluency preservation. the results of the study indicated that the swedish model had the capacity to match the quality of the english model but was held back by the inferior quality of the swedish corpus. the study also highlighted the need for task specific corpus in swedish. 

"
"1214420","A comparative study of time efficiency in traditional elevator systems (En jämförelsestudie av tidseffektivitet i traditionella styrsystem för hissar)","[]","
there are numerous of people that work in office buildings. for many of them, using an elevator is a daily practice. being able to access a time efficient elevator is therefore of great interest for many people. having to spend unnecessary time either inside an elevator or waiting for the elevator to arrive to you is not something that people appreciate. in order to achieve an efficient elevator, the elevator control system needs to be optimized for building that the elevator will be used in. this thesis investigates the time efficiency of two different traditional elevator control systems in a small office building in order to find out which of them that is the most time efficient. in order to compare the two elevator control systems a simulator was developed in java. the simulator simulated one year of elevator usage in an office building with one elevator, 10 floors and 100 persons. the results of the simulation show that the usage of a non-directional collective control system (ndccs) caused an approximately 66% shorter average waiting time, an approximately 5% longer average travel time making the average total time 54% shorter than when using a full collective control system (fccs). the conclusion was that the ndccs was the most time efficient in this specific building.

"
